step,velocity_steps_per_s,time_s
1009,1000.0,3.962688
1010,1000.0,3.963688
1011,1000.0,3.964688
1012,1000.0,3.965688
1013,1000.0,3.966688
1014,1000.0,3.967688
1015,1000.0,3.968688
1016,1000.0,3.969688
1017,1000.0,3.970688
1018,1000.0,3.971688
1019,1000.0,3.972688
1020,1000.0,3.973688
1021,1000.0,3.974688
1022,1000.0,3.975688
1023,1000.0,3.976688
1024,1000.0,3.977688
1025,1000.0,3.978688
1026,1000.0,3.979688
1027,1000.0,3.980688
1028,1000.0,3.981688
1029,1000.0,3.982688
1030,1000.0,3.983688
1031,1000.0,3.984688
1032,1000.0,3.985688
1033,1000.0,3.986688
1034,1000.0,3.987688
1035,1000.0,3.988688
1036,1000.0,3.989688
1037,1000.0,3.990688
1038,1000.0,3.991688
1039,1000.0,3.992688
1040,1000.0,3.993688
1041,1000.0,3.994688
1042,1000.0,3.995688
1043,1000.0,3.996688
1044,1000.0,3.997688
1045,1000.0,3.998688
1046,1000.0,3.999688
1047,1000.0,4.000688
1048,1000.0,4.001688
1049,1000.0,4.002688
1050,1000.0,4.003688
1051,1000.0,4.004688
1052,1000.0,4.005688
1053,1000.0,4.006688
1054,1000.0,4.007688
1055,1000.0,4.008688
1056,1000.0,4.009688
1057,1000.0,4.010688
1058,1000.0,4.011688
1059,1000.0,4.012688
1060,1000.0,4.013688
1061,1000.0,4.014688
1062,1000.0,4.015688
1063,1000.0,4.016688
1064,1000.0,4.017688
1065,1000.0,4.018688
1066,1000.0,4.019688
1067,1000.0,4.020688
1068,1000.0,4.021688
1069,1000.0,4.022688
1070,1000.0,4.023688
1071,1000.0,4.024688
1072,1000.0,4.025688
1073,1000.0,4.026688
1074,1000.0,4.027688
1075,1000.0,4.028688
1076,1000.0,4.029688
1077,1000.0,4.030688
1078,1000.0,4.031688
1079,1000.0,4.032688
1080,1000.0,4.033688
1081,1000.0,4.034688
1082,1000.0,4.035688
1083,1000.0,4.036688
1084,1000.0,4.037688
1085,1000.0,4.038688
1086,1000.0,4.039688
1087,1000.0,4.040688
1088,1000.0,4.041688
1089,1000.0,4.042688
1090,1000.0,4.043688
1091,1000.0,4.044688
1092,1000.0,4.045688
1093,1000.0,4.046688
1094,1000.0,4.047688
1095,1000.0,4.048688
1096,1000.0,4.049688
1097,1000.0,4.050688
1098,1000.0,4.051688
1099,1000.0,4.052688
1100,1000.0,4.053688
1101,1000.0,4.054688
1102,1000.0,4.055688
1103,1000.0,4.056688
1104,1000.0,4.057688
1105,1000.0,4.058688
1106,1000.0,4.059688
1107,1000.0,4.060688
1108,1000.0,4.061688
1109,1000.0,4.062688
1110,1000.0,4.063688
1111,1000.0,4.064688
1112,1000.0,4.065688
1113,1000.0,4.066688
1114,1000.0,4.067688
1115,1000.0,4.068688
1116,1000.0,4.069688
1117,1000.0,4.070688
1118,1000.0,4.071688
1119,1000.0,4.072688
1120,1000.0,4.073688
1121,1000.0,4.074688
1122,1000.0,4.075688
1123,1000.0,4.076688
1124,1000.0,4.077688
1125,1000.0,4.078688
1126,1000.0,4.079688
1127,1000.0,4.080688
1128,1000.0,4.081688
1129,1000.0,4.082688
1130,1000.0,4.083688
